ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO,ASSENTAMEN
degradacao,"3","2016",Modis,RR,0.04,Mucajaí,PA SAMAUMA
degradacao,"3","2016",Modis,RR,1.42,Mucajaí,PA SAMAUMA
degradacao,"3","2016",Modis,RR,0.11,Mucajaí,PA SAMAUMA
degradacao,"3","2016",Modis,RR,0.32,Mucajaí,PA SAMAUMA
degradacao,"3","2019",Sentinel-1-2,RR,0.01,Mucajaí,PA SAMAUMA
degradacao,"3","2018",Sentinel-1-2,RR,0.90,Mucajaí,PA SAMAUMA
degradacao,"3","2018",Sentinel-1-2,RR,0.64,Mucajaí,PA SAMAUMA
degradacao,"3","2018",Sentinel-1-2,RR,6.18,Mucajaí,PA SAMAUMA
degradacao,"3","2018",Sentinel-1-2,RR,1.10,Mucajaí,PA VILA NOVA
degradacao,"3","2018",Sentinel-1-2,RR,0.01,Mucajaí,PA SAMAUMA
degradacao,"3","2018",Sentinel-1-2,RR,0.70,Mucajaí,PA SAMAUMA
degradacao,"3","2018",Sentinel-1-2,RR,0.64,Mucajaí,PA SAMAUMA
degradacao,"3","2018",Sentinel-1-2,RR,0.14,Mucajaí,PA VILA NOVA
degradacao,"3","2018",Sentinel-1-2,RR,0.06,Mucajaí,PA SAMAUMA
degradacao,"3","2018",Sentinel-1-2,RR,0.14,Mucajaí,PA SAMAUMA
degradacao,"3","2018",Sentinel-1-2,RR,1.02,Mucajaí,PA VILA NOVA
degradacao,"3","2018",Sentinel-1-2,RR,1.09,Mucajaí,PA SAMAUMA
degradacao,"7","2009",Modis,RR,0.81,Mucajaí,PA SAMAUMA
degradacao,"7","2009",Modis,RR,0.25,Mucajaí,PA SAMAUMA
degradacao,"7","2009",Modis,RR,0.45,Mucajaí,PA SAMAUMA
degradacao,"5","2020",Sentinel-1-2,RR,0.06,Mucajaí,PA SAMAUMA
degradacao,"5","2020",Sentinel-1-2,RR,0.01,Mucajaí,PA SAMAUMA
degradacao,"5","2020",Sentinel-1-2,RR,0.02,Mucajaí,PA SAMAUMA
degradacao,"3","2019",Sentinel-1-2,RR,0.03,Mucajaí,PA SAMAUMA
degradacao,"3","2019",Sentinel-1-2,RR,0.02,Mucajaí,PA SAMAUMA
degradacao,"3","2019",Sentinel-1-2,RR,0.02,Mucajaí,PA SAMAUMA
degradacao,"3","2019",Sentinel-1-2,RR,0.03,Mucajaí,PA SAMAUMA
