ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO,UNID_CONSE,USO,JURISDICAO
degradacao,8,2022,Sentinel-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-8-9,PA,0.09,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-8-9,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-8-9,PA,0.02,Novo Progresso,FLONA do Jamanxim,Uso Sustentável,Federal
degradacao,8,2022,Landsat-8-9,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-8-9,PA,0.02,Novo Progresso,FLONA do Jamanxim,Uso Sustentável,Federal
degradacao,8,2022,Landsat-8-9,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-8-9,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-8/Sentinel-2,PA,0.17,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-8/Sentinel-2,PA,0.07,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-8/Sentinel-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-8/Sentinel-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
