ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2
degradacao,"11","2022",Sentinel-2,MT,0.68
degradacao,"11","2022",Sentinel-2,MT,0.68
degradacao,"11","2022",Sentinel-2,MT,0.67
degradacao,"11","2022",Sentinel-2,MT,0.67
degradacao,"11","2022",Sentinel-2,RO,0.67
degradacao,"11","2022",Sentinel-2,AC,0.66
degradacao,"11","2022",Sentinel-2,MT,0.65
degradacao,"11","2022",Sentinel-2,AM,0.64
degradacao,"11","2022",Sentinel-2,PA,0.64
degradacao,"11","2022",Sentinel-2,MT,0.64
degradacao,"11","2022",Sentinel-2,MT,0.63
degradacao,"11","2022",Sentinel-2,MT,0.63
degradacao,"11","2022",Sentinel-2,AM,0.62
degradacao,"11","2022",Sentinel-2,MT,0.61
degradacao,"11","2022",Sentinel-2,AM,0.60
degradacao,"11","2022",Sentinel-2,RO,0.60
degradacao,"11","2022",Sentinel-2,MT,0.59
degradacao,"11","2022",Sentinel-2,AC,0.59
degradacao,"11","2022",Sentinel-2,MT,0.58
degradacao,"11","2022",Sentinel-2,PA,0.58
degradacao,"11","2022",Sentinel-2,MT,0.58
degradacao,"11","2022",Sentinel-2,AM,0.57
degradacao,"11","2022",Sentinel-2,AC,0.57
degradacao,"11","2022",Sentinel-2,RO,0.57
degradacao,"11","2022",Sentinel-2,MT,0.57
degradacao,"11","2022",Sentinel-2,PA,0.56
degradacao,"11","2022",Sentinel-2,MT,0.55
degradacao,"11","2022",Sentinel-2,MT,0.55
degradacao,"11","2022",Sentinel-2,AC,0.55
degradacao,"11","2022",Sentinel-2,PA,0.54
degradacao,"11","2022",Sentinel-2,MT,0.54
degradacao,"11","2022",Sentinel-2,AM,0.54
degradacao,"11","2022",Sentinel-2,AC,0.53
degradacao,"11","2022",Sentinel-2,AM,0.52
degradacao,"11","2022",Sentinel-2,AM,0.52
degradacao,"11","2022",Sentinel-2,MT,0.52
degradacao,"11","2022",Sentinel-2,PA,0.51
degradacao,"11","2022",Sentinel-2,AM,0.51
degradacao,"11","2022",Sentinel-2,PA,0.51
degradacao,"11","2022",Sentinel-2,MT,0.50
degradacao,"11","2022",Sentinel-2,MT,0.50
degradacao,"11","2022",Sentinel-2,RO,0.50
degradacao,"11","2022",Sentinel-2,MT,0.50
degradacao,"11","2022",Sentinel-2,PA,0.49
degradacao,"11","2022",Sentinel-2,MT,0.49
degradacao,"11","2022",Sentinel-2,MT,0.49
degradacao,"11","2022",Sentinel-2,MT,0.48
degradacao,"11","2022",Sentinel-2,MT,0.48
degradacao,"11","2022",Sentinel-2,AM,0.47
degradacao,"11","2022",Sentinel-2,PA,0.47
degradacao,"11","2022",Sentinel-2,RO,0.46
degradacao,"11","2022",Sentinel-2,AM,0.46
degradacao,"11","2022",Sentinel-2,PA,0.46
degradacao,"11","2022",Sentinel-2,MT,0.46
degradacao,"11","2022",Sentinel-2,MT,0.44
degradacao,"11","2022",Sentinel-2,RO,0.44
degradacao,"11","2022",Sentinel-2,RO,0.44
degradacao,"11","2022",Sentinel-2,MT,0.44
degradacao,"11","2022",Sentinel-2,AM,0.43
degradacao,"11","2022",Sentinel-2,RO,0.43
degradacao,"11","2022",Sentinel-2,AM,0.43
degradacao,"11","2022",Sentinel-2,MT,0.42
degradacao,"11","2022",Sentinel-2,AC,0.42
degradacao,"11","2022",Sentinel-2,AM,0.41
degradacao,"11","2022",Sentinel-2,MT,0.41
degradacao,"11","2022",Sentinel-2,MT,0.41
degradacao,"11","2022",Sentinel-2,MT,0.40
degradacao,"11","2022",Sentinel-2,AC,0.40
degradacao,"11","2022",Sentinel-2,AC,0.40
degradacao,"11","2022",Sentinel-2,AC,0.40
degradacao,"11","2022",Sentinel-2,MT,0.39
degradacao,"11","2022",Sentinel-2,AC,0.39
degradacao,"11","2022",Sentinel-2,PA,0.39
degradacao,"11","2022",Sentinel-2,MT,0.39
degradacao,"11","2022",Sentinel-2,PA,0.39
degradacao,"11","2022",Sentinel-2,MT,0.38
degradacao,"11","2022",Sentinel-2,MT,0.38
degradacao,"11","2022",Sentinel-2,AC,0.38
degradacao,"11","2022",Sentinel-2,MT,0.37
degradacao,"11","2022",Sentinel-2,MA,0.37
degradacao,"11","2022",Sentinel-2,MT,0.37
degradacao,"11","2022",Sentinel-2,MT,0.37
degradacao,"11","2022",Sentinel-2,PA,0.37
degradacao,"11","2022",Sentinel-2,MT,0.37
degradacao,"11","2022",Sentinel-2,AC,0.36
degradacao,"11","2022",Sentinel-2,PA,0.34
degradacao,"11","2022",Sentinel-2,MT,0.34
degradacao,"11","2022",Sentinel-2,RO,0.33
degradacao,"11","2022",Sentinel-2,AC,0.33
degradacao,"11","2022",Sentinel-2,AM,0.32
degradacao,"11","2022",Sentinel-2,MT,0.32
degradacao,"11","2022",Sentinel-2,MT,0.32
degradacao,"11","2022",Sentinel-2,AC,0.32
degradacao,"11","2022",Sentinel-2,AC,0.32
degradacao,"11","2022",Sentinel-2,AM,0.31
degradacao,"11","2022",Sentinel-2,PA,0.31
degradacao,"11","2022",Sentinel-2,MT,0.31
degradacao,"11","2022",Sentinel-2,RO,0.31
degradacao,"11","2022",Sentinel-2,AM,0.31
degradacao,"11","2022",Sentinel-2,AC,0.31
degradacao,"11","2022",Sentinel-2,RO,0.30
degradacao,"11","2022",Sentinel-2,PA,0.30
degradacao,"11","2022",Sentinel-2,MT,0.30
degradacao,"11","2022",Sentinel-2,MT,0.30
degradacao,"11","2022",Sentinel-2,AC,0.30
degradacao,"11","2022",Sentinel-2,RO,0.29
degradacao,"11","2022",Sentinel-2,MT,0.29
degradacao,"11","2022",Sentinel-2,AM,0.29
degradacao,"11","2022",Sentinel-2,MT,0.29
degradacao,"11","2022",Sentinel-2,MT,0.29
degradacao,"11","2022",Sentinel-2,MT,0.28
degradacao,"11","2022",Sentinel-2,MT,0.28
degradacao,"11","2022",Sentinel-2,AC,0.28
degradacao,"11","2022",Sentinel-2,MT,0.28
degradacao,"11","2022",Sentinel-2,PA,0.28
degradacao,"11","2022",Sentinel-2,RO,0.28
degradacao,"11","2022",Sentinel-2,PA,0.28
degradacao,"11","2022",Sentinel-2,MT,0.28
degradacao,"11","2022",Sentinel-2,PA,0.28
degradacao,"11","2022",Sentinel-2,MT,0.27
degradacao,"11","2022",Sentinel-2,AM,0.27
degradacao,"11","2022",Sentinel-2,MT,0.26
degradacao,"11","2022",Sentinel-2,AM,0.26
degradacao,"11","2022",Sentinel-2,MT,0.26
degradacao,"11","2022",Sentinel-2,MT,0.26
degradacao,"11","2022",Sentinel-2,AC,0.26
degradacao,"11","2022",Sentinel-2,PA,0.25
degradacao,"11","2022",Sentinel-2,PA,0.25
degradacao,"11","2022",Sentinel-2,RO,0.25
degradacao,"11","2022",Sentinel-2,AM,0.25
degradacao,"11","2022",Sentinel-2,AC,0.25
degradacao,"11","2022",Sentinel-2,PA,0.25
degradacao,"11","2022",Sentinel-2,MT,0.25
degradacao,"11","2022",Sentinel-2,AM,0.24
degradacao,"11","2022",Sentinel-2,MT,0.24
degradacao,"11","2022",Sentinel-2,PA,0.24
degradacao,"11","2022",Sentinel-2,MT,0.24
degradacao,"11","2022",Sentinel-2,AM,0.23
degradacao,"11","2022",Sentinel-2,MT,0.23
degradacao,"11","2022",Sentinel-2,AM,0.23
degradacao,"11","2022",Sentinel-2,TO,0.23
degradacao,"11","2022",Sentinel-2,AM,0.23
degradacao,"11","2022",Sentinel-2,PA,0.22
degradacao,"11","2022",Sentinel-2,AM,0.22
degradacao,"11","2022",Sentinel-2,MT,0.22
degradacao,"11","2022",Sentinel-2,AC,0.21
degradacao,"11","2022",Sentinel-2,PA,0.21
degradacao,"11","2022",Sentinel-2,PA,0.21
degradacao,"11","2022",Sentinel-2,AM,0.21
degradacao,"11","2022",Sentinel-2,AC,0.21
degradacao,"11","2022",Sentinel-2,AC,0.21
degradacao,"11","2022",Sentinel-2,PA,0.21
degradacao,"11","2022",Sentinel-2,PA,0.20
degradacao,"11","2022",Sentinel-2,AM,0.20
degradacao,"11","2022",Sentinel-2,RO,0.20
degradacao,"11","2022",Sentinel-2,AM,0.20
degradacao,"11","2022",Sentinel-2,PA,0.19
degradacao,"11","2022",Sentinel-2,RO,0.19
degradacao,"11","2022",Sentinel-2,MT,0.19
degradacao,"11","2022",Sentinel-2,PA,0.19
degradacao,"11","2022",Sentinel-2,MT,0.18
degradacao,"11","2022",Sentinel-2,AC,0.18
degradacao,"11","2022",Sentinel-2,AC,0.18
degradacao,"11","2022",Sentinel-2,MA,0.18
degradacao,"11","2022",Sentinel-2,MT,0.18
degradacao,"11","2022",Sentinel-2,TO,0.18
degradacao,"11","2022",Sentinel-2,AM,0.18
degradacao,"11","2022",Sentinel-2,AC,0.18
degradacao,"11","2022",Sentinel-2,MT,0.17
degradacao,"11","2022",Sentinel-2,MT,0.17
degradacao,"11","2022",Sentinel-2,AC,0.17
degradacao,"11","2022",Sentinel-2,AM,0.17
degradacao,"11","2022",Sentinel-2,MT,0.17
degradacao,"11","2022",Sentinel-2,MT,0.17
degradacao,"11","2022",Sentinel-2,PA,0.17
degradacao,"11","2022",Sentinel-2,RO,0.16
degradacao,"11","2022",Sentinel-2,AC,0.16
degradacao,"11","2022",Sentinel-2,PA,0.16
