ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO,TI
degradacao,8,2022,Landsat-9/Sentinel-2,MT,0.02,Querência,PI Xingu
degradacao,8,2022,Landsat-9/Sentinel-2,MT,0.02,Gaúcha do Norte,TI Pequizal do Naruvôtu
degradacao,8,2022,Landsat-9/Sentinel-2,MT,0.02,Gaúcha do Norte,TI Pequizal do Naruvôtu
degradacao,8,2022,Landsat-9/Sentinel-2,MT,0.02,Gaúcha do Norte,TI Pequizal do Naruvôtu
degradacao,8,2022,Landsat-9/Sentinel-2,MT,0.02,Querência,PI Xingu
degradacao,8,2022,Landsat-9/Sentinel-2,MT,0.02,Querência,PI Xingu
degradacao,8,2022,Landsat-9/Sentinel-2,MT,0.02,Querência,PI Xingu
degradacao,8,2022,Landsat-9/Sentinel-2,MT,0.02,Querência,PI Xingu
degradacao,8,2022,Landsat-9/Sentinel-2,MT,0.02,Querência,PI Xingu
degradacao,8,2022,Landsat-9/Sentinel-2,MT,0.02,Querência,PI Xingu
degradacao,8,2022,Landsat-9/Sentinel-2,PA,0.01,Cumaru do Norte,TI Kayapó
degradacao,8,2022,Landsat-9/Sentinel-2,MT,0.01,Querência,PI Xingu
degradacao,8,2022,Landsat-9/Sentinel-2,MT,0.01,Querência,PI Xingu
degradacao,8,2022,Landsat-9/Sentinel-2,MT,0.01,Gaúcha do Norte,TI Pequizal do Naruvôtu
degradacao,8,2022,Landsat-9/Sentinel-2,MT,0.01,Gaúcha do Norte,TI Pequizal do Naruvôtu
degradacao,7,2022,Sentinel-2,MT,2.59,Querência,TI Wawi
degradacao,7,2022,Sentinel-2,MT,0.04,Gaúcha do Norte,PI Xingu
degradacao,7,2022,Sentinel-2,MT,0.79,Querência,TI Wawi
degradacao,7,2022,Sentinel-2,MT,0.68,Querência,PI Xingu
degradacao,7,2022,Sentinel-2,MT,0.30,Querência,PI Xingu
degradacao,7,2022,Sentinel-2,MT,0.24,Querência,PI Xingu
degradacao,7,2022,Sentinel-2,MT,0.09,Alto Boa Vista,TI Marãiwatsédé
degradacao,7,2022,Sentinel-2,MT,0.09,Querência,TI Wawi
degradacao,7,2022,Sentinel-2,MT,0.06,Alto Boa Vista,TI Marãiwatsédé
degradacao,7,2022,Sentinel-2,MT,0.05,Querência,PI Xingu
degradacao,7,2022,Sentinel-2,MT,0.05,Querência,TI Wawi
