sigla_uf,area_ha,categoria,ano,name,sub_class,nome,geocodigo
PA,67.7628325067,não autorizada,2018,PAC OURO BRANCO I,ARU,Uruará,1508159
PA,267.744644733,não autorizada,2010,PAC OURO BRANCO I,ARU,Uruará,1508159
PA,67.7628325067,não autorizada,2018,PAC OURO BRANCO I,ARU,Uruará,1508159
PA,97.0281793967,não autorizada,2011,PAC OURO BRANCO I,ARU,Uruará,1508159
PA,67.7628325067,não autorizada,2018,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,267.744644733,não autorizada,2010,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,80.8925988786,não autorizada,2018,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,107.768251986,não autorizada,2007,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,80.8925988786,não autorizada,2018,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,28.020763473,não autorizada,2009,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,80.8925988786,não autorizada,2018,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,17.4035248931,não autorizada,2012,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,133.77591331,não autorizada,2018,PAC SÃO SEBASTIÃO DO TUTUÍ,ARU,Uruará,1508159
PA,133.77591331,não autorizada,2018,PDS OURO BRANCO,COM,Uruará,1508159
PA,45.4624387481,não autorizada,2018,PAC SÃO SEBASTIÃO DO TUTUÍ,ARU,Uruará,1508159
PA,45.4624387481,não autorizada,2018,PDS OURO BRANCO,COM,Uruará,1508159
PA,15.1396465589,não autorizada,2018,PAC SÃO SEBASTIÃO DO TUTUÍ,ARU,Uruará,1508159
PA,15.1396465589,não autorizada,2018,PDS OURO BRANCO,COM,Uruará,1508159
PA,15.1396465589,não autorizada,2018,PDS OURO BRANCO,COM,Uruará,1508159
PA,18.3982042689,não autorizada,2009,PDS OURO BRANCO,COM,Uruará,1508159
PA,168.677691536,autorizada,2017,PDS LIBERDADE I,COM,Portel,1505809
PA,158.210965171,autorizada,2017,PDS LIBERDADE I,COM,Portel,1505809
PA,23.6814907029,autorizada,2017,PA PENETECAUA,ARU,Brasil Novo,1501725
PA,28.7279824473,não autorizada,2017,PA PENETECAUA,ARU,Brasil Novo,1501725
PA,36.5289916179,autorizada,2017,ÃREA PARA REGULARIZAÃ‡ÃƒO FUNDIÃRIA DE PERMUTAS E/OU COOPERATIVAS,COM,Santarém,1506807
PA,1894.7607749,autorizada,2016,ÃREA PARA REGULARIZAÃ‡ÃƒO FUNDIÃRIA DE PERMUTAS E/OU COOPERATIVAS,COM,Santarém,1506807
PA,24.1267803789,autorizada,2017,ÃREA PARA REGULARIZAÃ‡ÃƒO FUNDIÃRIA DE PERMUTAS E/OU COOPERATIVAS,COM,Santarém,1506807
PA,950.370873084,autorizada,2016,ÃREA PARA REGULARIZAÃ‡ÃƒO FUNDIÃRIA DE PERMUTAS E/OU COOPERATIVAS,COM,Santarém,1506807
PA,4.99105919541,autorizada,2017,"GURUPA MIRIM, JOCOJO, FLEXINHA, CARRAZEDO",QL,Gurupá,1503101
PA,160.899178756,não autorizada,2016,"GURUPA MIRIM, JOCOJO, FLEXINHA, CARRAZEDO",QL,Gurupá,1503101
PA,5.3116056923,autorizada,2017,"GURUPA MIRIM, JOCOJO, FLEXINHA, CARRAZEDO",QL,Gurupá,1503101
PA,14.7808690065,não autorizada,2016,"GURUPA MIRIM, JOCOJO, FLEXINHA, CARRAZEDO",QL,Gurupá,1503101
PA,101.308942125,autorizada,2017,MARIAZINHA-ARACATI,COM,Santarém,1506807
PA,639.576851179,autorizada,2012,MARIAZINHA-ARACATI,COM,Santarém,1506807
PA,101.308942125,autorizada,2017,MARIAZINHA-ARACATI,COM,Santarém,1506807
PA,10.613131563,não autorizada,2016,MARIAZINHA-ARACATI,COM,Santarém,1506807
PA,101.308942125,autorizada,2017,MARIAZINHA-ARACATI,COM,Santarém,1506807
PA,30.9584557148,não autorizada,2016,MARIAZINHA-ARACATI,COM,Santarém,1506807
PA,171.486015355,autorizada,2017,MARIAZINHA-ARACATI,COM,Santarém,1506807
PA,639.576851179,autorizada,2012,MARIAZINHA-ARACATI,COM,Santarém,1506807
PA,171.486015355,autorizada,2017,MARIAZINHA-ARACATI,COM,Santarém,1506807
PA,99.5117226284,não autorizada,2016,MARIAZINHA-ARACATI,COM,Santarém,1506807
PA,171.486015355,autorizada,2017,MARIAZINHA-ARACATI,COM,Santarém,1506807
PA,12.4154458419,não autorizada,2016,MARIAZINHA-ARACATI,COM,Santarém,1506807
PA,171.486015355,autorizada,2017,MARIAZINHA-ARACATI,COM,Santarém,1506807
PA,598.567953527,não autorizada,2023,MARIAZINHA-ARACATI,COM,Santarém,1506807
PA,153.881471809,autorizada,2017,MARIAZINHA-ARACATI,COM,Santarém,1506807
PA,83.9823124038,autorizada,2012,MARIAZINHA-ARACATI,COM,Santarém,1506807
PA,402.268380451,autorizada,2017,PDS LIBERDADE I,COM,Portel,1505809
PA,67.7997455716,não autorizada,2016,PDS LIBERDADE I,COM,Portel,1505809
PA,158.210965171,autorizada,2017,PDS LIBERDADE I,COM,Portel,1505809
PA,67.7997455716,não autorizada,2016,PDS LIBERDADE I,COM,Portel,1505809
PA,11.7417605434,autorizada,2017,PDS LIBERDADE I,COM,Portel,1505809
PA,2.39260309777,não autorizada,2016,PDS LIBERDADE I,COM,Portel,1505809
PA,1615.33699361,autorizada,2008,PDS LIBERDADE I,COM,Portel,1505809
PA,2591.73418952,autorizada,2022,PDS LIBERDADE I,COM,Portel,1505809
PA,48.8922654622,autorizada,2008,ITAMAOARI,QL,Cachoeira do Piriá,1501956
PA,31.5887703204,autorizada,2011,ITAMAOARI,QL,Cachoeira do Piriá,1501956
PA,640.989847947,autorizada,2008,PAC BOM SOSSEGO,ARU,Mojuí dos Campos,1504752
PA,63.3028245641,autorizada,2009,PAC BOM SOSSEGO,ARU,Mojuí dos Campos,1504752
PA,407.864455086,autorizada,2008,PAE CURUÁ II,COM,Prainha,1506005
PA,192.715159193,autorizada,2007,PAE CURUÁ II,COM,Prainha,1506005
PA,407.864455086,autorizada,2008,PAE CURUÁ II,COM,Prainha,1506005
PA,164.53604938,não autorizada,2007,PAE CURUÁ II,COM,Prainha,1506005
PA,359.646719429,autorizada,2008,PAE CURUÁ II,COM,Prainha,1506005
PA,164.53604938,não autorizada,2007,PAE CURUÁ II,COM,Prainha,1506005
PA,657.133287051,autorizada,2010,PDS LIBERDADE,COM,Pacajá,1505486
PA,141.222119137,não autorizada,2009,PDS LIBERDADE,COM,Pacajá,1505486
PA,37.2193556008,autorizada,2010,PAQ ESPECIAL QUILOMBOLA ITAMAUARI,ARU,Cachoeira do Piriá,1501956
PA,37.2193556008,autorizada,2010,PAQ ESPECIAL QUILOMBOLA ITAMAUARI,ARU,Cachoeira do Piriá,1501956
PA,194.999943171,autorizada,2010,PDS LIBERDADE,COM,Pacajá,1505486
PA,169.942161582,não autorizada,2010,PDS LIBERDADE,COM,Pacajá,1505486
PA,75.6895356578,autorizada,2010,PDS LIBERDADE I,COM,Portel,1505809
